+-------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                |
| dark_water                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | midnight:dark_water                                  |
| diesel                        |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel                      |
| dirt                          |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                               |
| distwater                     |    1000 |         300 |      1000 |          0 | COMMON   |     false | immersivetech:fluiddistwater                         |
| ec.internal.brine             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.chlorine          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleancopper       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleangold         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleaniron         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleanlead         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleanosmium       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleansilver       |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.cleantin          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.copper            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.deuterium         |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.ethene            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.fusionfuel        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.gold              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.hydrogen          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.hydrogenchloride  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.iron              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.lead              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.liquidosmium      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.lithium           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.osmium            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.oxygen            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.silver            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.sodium            |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.sulfurdioxide     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.sulfuricacid      |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.sulfurtrioxide    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.tin               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.tritium           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| ec.internal.water             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| electrical_steel              |    9000 |        1475 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_electrical_steel                 |
| electrum                      |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum                           |
| emerald                       |    2000 |         999 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_emerald                            |
| empoweredoil                  |    1000 |         300 |      1000 |          0 | EPIC     |     false | actuallyadditions:block_empowered_oil                |
| end_steel                     |    9000 |        1213 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_end_steel                        |
| ender                         |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender                        |
| ender_distillation            |     200 |         175 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_ender_distillation               |
| enderium                      |    1000 |        1600 |      1000 |          0 | RARE     |     false | tconstruct:molten_enderium                           |
| energetic_alloy               |    9000 |        1128 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_energetic_alloy                  |
| enrichedlava                  |    3000 |        1300 |      6000 |         15 | COMMON   |     false | advancedrocketry:enrichedlavafluid                   |
| essence                       |    3000 |         300 |      6000 |         15 | COMMON   |     false | industrialforegoing:essence                          |
| ethanol                       |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidethanol                    |
| exhauststeam                  |    -100 |         300 |       500 |          0 | COMMON   |      true | immersivetech:exhauststeam                           |
| experience                    |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                                    |
| fiery_essence                 |    1000 |        1000 |      1000 |          0 | COMMON   |     false | twilightforest:fiery_essence                         |
| fierymetal                    |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_fierymetal                     |
| fire_water                    |     900 |        2000 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_fire_water                       |
| fluegas                       |    -100 |         300 |       500 |          0 | COMMON   |      true | immersivetech:fluidfluegas                           |
| fluidberylium                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.berylium            |
| fluidbiofuel                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.biofuel             |
| fluidcalcium                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.calcium             |
| fluidcalciumcarbonate         |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.calciumcarbonate    |
| fluidcarbon                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.carbon              |
| fluidcarbonfiber              |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.carbonfiber         |
| fluidchlorite                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.chlorite            |
| fluidcompressedair            |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.compressedair       |
| fluiddeuterium                |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.deuterium           |
| fluiddiesel                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.diesel              |
| fluidelectrolyzedwater        |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.electrolyzedwater   |
| fluidglyceryl                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.glyceryl            |
| fluidhelium                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.helium              |
| fluidhelium3                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.helium3             |
| fluidheliumplasma             |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.heliumplasma        |
| fluidhydrogen                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.hydrogen            |
| fluidlithium                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.lithium             |
| fluidmercury                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.mercury             |
| fluidmethane                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.methane             |
| fluidnitrocarbon              |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.nitrocarbon         |
| fluidnitrocoalfuel            |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.nitrocoalfuel       |
| fluidnitrodiesel              |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.nitrodiesel         |
| fluidnitrofuel                |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.nitrofuel           |
| fluidnitrogen                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.nitrogen            |
| fluidnitrogendioxide          |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.nitrogendioxide     |
| fluidoil                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.oil                 |
| fluidpotassium                |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.potassium           |
| fluidsilicon                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.silicon             |
| fluidsodium                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.sodium              |
| fluidsodiumpersulfate         |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.sodiumpersulfate    |
| fluidsodiumsulfide            |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.sodiumsulfide       |
| fluidsulfur                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.sulfur              |
| fluidsulfuricacid             |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.sulfuricacid        |
| fluidtritium                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.tritium             |
| fluidwolframium               |    1000 |         300 |      1000 |          0 | COMMON   |     false | techreborn:techreborn_techreborn.wolframium          |
| flux_goo                      |       8 |         300 |      6000 |          0 | COMMON   |     false | thaumcraft:flux_goo                                  |
| for.honey                     |    1420 |         295 |     75600 |          0 | COMMON   |     false | forestry:fluid.for.honey                             |
| fuel_dense                    |     600 |         300 |       800 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_fuel_dense_heat_0       |
| fuel_dense_heat_1             |     600 |         320 |       600 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_fuel_dense_heat_1       |
| fuel_dense_heat_2             |    -600 |         340 |       400 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_dense_heat_2       |
| fuel_gaseous                  |    -300 |         300 |       500 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_gaseous_heat_0     |
| fuel_gaseous_heat_1           |    -300 |         320 |       375 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_gaseous_heat_1     |
| fuel_gaseous_heat_2           |    -300 |         340 |       250 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_gaseous_heat_2     |
| fuel_light                    |     400 |         300 |       600 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_fuel_light_heat_0       |
| fuel_light_heat_1             |    -400 |         320 |       450 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_light_heat_1       |
| fuel_light_heat_2             |    -400 |         340 |       300 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_light_heat_2       |
| fuel_mixed_heavy              |     700 |         300 |      1000 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_0 |
| fuel_mixed_heavy_heat_1       |     700 |         320 |       750 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_1 |
| fuel_mixed_heavy_heat_2       |    -700 |         340 |       500 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_mixed_heavy_heat_2 |
| fuel_mixed_light              |     650 |         300 |       900 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_fuel_mixed_light_heat_0 |
| fuel_mixed_light_heat_1       |    -650 |         320 |       675 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_mixed_light_heat_1 |
| fuel_mixed_light_heat_2       |    -650 |         340 |       450 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_fuel_mixed_light_heat_2 |
| fuelcolumn                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| gasoline                      |     789 |         300 |      1200 |          0 | COMMON   |     false | immersivepetroleum:fluid_gasoline                    |
| glass                         |    2400 |        1200 |     10000 |          0 | COMMON   |     false | forestry:fluid.glass                                 |
| glowstone                     |    -500 |         300 |       100 |         15 | UNCOMMON |      true | thermalfoundation:fluid_glowstone                    |
| gold                          |    2000 |         532 |     10000 |         10 | RARE     |     false | tconstruct:molten_gold                               |
| heavywater                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| honey                         |    1000 |         300 |      1500 |          0 | COMMON   |     false | biomesoplenty:honey                                  |
| hootch                        |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_hootch                           |
| hot_spring_water              |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:hot_spring_water                       |
| hydrogen                      |     800 |         300 |      1500 |         10 | COMMON   |     false | advancedrocketry:hydrogenfluid                       |
| ice                           |     520 |         265 |      1000 |          0 | COMMON   |     false | forestry:fluid.ice                                   |
| if.ore_fluid_fermented        |    3000 |         300 |      6000 |          0 | COMMON   |     false | -                                                    |
| if.ore_fluid_raw              |    3000 |         300 |      6000 |          0 | COMMON   |     false | -                                                    |
| if.pink_slime                 |    3000 |         300 |      6000 |          0 | COMMON   |     false | industrialforegoing:if.pink_slime                    |
| if.protein                    |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:if.protein                       |
| invar                         |    1000 |        1400 |      1000 |          0 | COMMON   |     false | tconstruct:molten_invar                              |
| iridium                       |    1000 |        1400 |      1000 |          0 | UNCOMMON |     false | tconstruct:molten_iridium                            |
| iron                          |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_iron                               |
| juice                         |    1000 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.juice                                 |
| knightmetal                   |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_knightmetal                    |
| knightslime                   |    2000 |         520 |     10000 |         10 | EPIC     |     false | tconstruct:molten_knightslime                        |
| latex                         |    3000 |         375 |      6000 |          0 | COMMON   |     false | industrialforegoing:latex                            |
| lava                          |    3000 |        1300 |      6000 |         15 | COMMON   |     false | minecraft:lava                                       |
| lead                          |    2000 |         400 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_lead                               |
| liquid_death                  |    1000 |         300 |      1500 |          0 | RARE     |     false | thaumcraft:liquid_death                              |
| liquid_sunshine               |     200 |         300 |       400 |          0 | COMMON   |     false | enderio:block_fluid_liquid_sunshine                  |
| liquidchlorine                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidchorus                  |    1500 |         300 |      3000 |          0 | EPIC     |     false | integrateddynamics:block_liquid_chorus               |
| liquiddeuterium               |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquiddna                     |    1000 |         295 |      1000 |          0 | COMMON   |     false | gendustry:liquiddna                                  |
| liquidethene                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidfusionfuel              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidhydrogen                |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidhydrogenchloride        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidlithium                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidoxygen                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidsodium                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidsulfurdioxide           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidsulfurtrioxide          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| liquidtritium                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
| lubricant                     |     925 |         300 |      1000 |          0 | COMMON   |     false | immersivepetroleum:fluid_lubricant                   |
| lumium                        |    1000 |        1000 |      1000 |          0 | UNCOMMON |     false | tconstruct:molten_lumium                             |
| mana                          |     600 |         350 |      6000 |         15 | EPIC     |     false | thermalfoundation:fluid_mana                         |
| manyullyn                     |    2000 |        1000 |     10000 |         10 | RARE     |     false | tconstruct:molten_manyullyn                          |
| meat                          |    3000 |         375 |      6000 |          0 | COMMON   |     false | industrialforegoing:meat                             |
| menrilresin                   |    1500 |         300 |      3000 |          0 | RARE     |     false | integrateddynamics:block_menril_resin                |
| miasma                        |    3000 |         400 |      3000 |         15 | COMMON   |     false | midnight:miasma                                      |
| milk                          |    1030 |         295 |      3000 |          0 | COMMON   |     false | forestry:fluid.milk                                  |
| molten_reinforced_pink_slime  |    2000 |        1000 |     10000 |         10 | COMMON   |     false | -                                                    |
| mushroom_stew                 |    2000 |         300 |      2000 |          0 | COMMON   |     false | -                                                    |
| mutagen                       |    1000 |         295 |      1000 |          0 | COMMON   |     false | gendustry:mutagen                                    |
| napalm                        |    1000 |         300 |      4000 |          0 | COMMON   |     false | immersivepetroleum:fluid_napalm                      |
| nickel                        |    2000 |         727 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_nickel                             |
| nitrogen                      |     800 |         300 |      1500 |         10 | COMMON   |     false | advancedrocketry:nitrogenfluid                       |
| nutrient_distillation         |    1500 |         300 |      3000 |          0 | COMMON   |     false | enderio:block_fluid_nutrient_distillation            |
| obsidian                      |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_obsidian                           |
| oil                           |     900 |         300 |      2000 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_heat_0              |
| oil_dense                     |     950 |         300 |      1600 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_dense_heat_0        |
| oil_dense_heat_1              |     950 |         320 |      1200 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_dense_heat_1        |
| oil_dense_heat_2              |     950 |         340 |       800 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_dense_heat_2        |
| oil_distilled                 |     750 |         300 |      1400 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_distilled_heat_0    |
| oil_distilled_heat_1          |     750 |         320 |      1050 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_distilled_heat_1    |
| oil_distilled_heat_2          |    -750 |         340 |       700 |          0 | COMMON   |      true | buildcraftenergy:fluid_block_oil_distilled_heat_2    |
| oil_heat_1                    |     900 |         320 |      1500 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_heat_1              |
| oil_heat_2                    |     900 |         340 |      1000 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_heat_2              |
| oil_heavy                     |     850 |         300 |      1800 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_heavy_heat_0        |
| oil_heavy_heat_1              |     850 |         320 |      1350 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_heavy_heat_1        |
| oil_heavy_heat_2              |     850 |         340 |       900 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_heavy_heat_2        |
| oil_residue                   |    1200 |         300 |      4000 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_residue_heat_0      |
| oil_residue_heat_1            |    1200 |         320 |      3000 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_residue_heat_1      |
| oil_residue_heat_2            |    1200 |         340 |      2000 |          0 | COMMON   |     false | buildcraftenergy:fluid_block_oil_residue_heat_2      |
| osgloglas                     |    2000 |        1300 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_osgloglas                     |
| osmiridium                    |    2000 |         840 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_osmiridium                    |
| osmium                        |    2000 |         820 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_osmium                        |
| oxygen                        |     800 |         300 |      1500 |         10 | COMMON   |     false | advancedrocketry:oxygenfluid                         |
| petrotheum                    |    4000 |         350 |      1500 |          0 | RARE     |     false | thermalfoundation:fluid_petrotheum                   |
| pigiron                       |    2000 |         600 |     10000 |         10 | EPIC     |     false | tconstruct:molten_pigiron                            |
| plantoil                      |     925 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidplantoil                   |
| platinum                      |    1000 |        1400 |      1000 |          0 | UNCOMMON |     false | tconstruct:molten_platinum                           |
| poison                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:poison                                 |
| potion                        |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                                    |
| potion_lingering              |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                                    |
| potion_splash                 |     500 |         300 |      1500 |          3 | UNCOMMON |     false | -                                                    |
| protein                       |    1000 |         295 |      1000 |          0 | COMMON   |     false | gendustry:protein                                    |
| psimetal                      |    2000 |         696 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_psimetal                      |
| pulsating_iron                |    9000 |        1405 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_pulsating_iron                   |
| purifying_fluid               |    1000 |         300 |      1000 |          5 | RARE     |     false | thaumcraft:purifying_fluid                           |
| purpleslime                   |    1600 |         370 |      1600 |          0 | COMMON   |     false | tconstruct:purpleslime                               |
| pyrotheum                     |    2000 |        4000 |      1200 |         15 | RARE     |     false | thermalfoundation:fluid_pyrotheum                    |
| redstone                      |    1200 |         300 |      1500 |          7 | UNCOMMON |     false | thermalfoundation:fluid_redstone                     |
| redstone_alloy                |    9000 |        1357 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_redstone_alloy                   |
| refined_biofuel               |     750 |         300 |       800 |          0 | COMMON   |     false | -                                                    |
| refined_fuel                  |     750 |         300 |       800 |          0 | COMMON   |     false | -                                                    |
| refined_oil                   |     800 |         300 |      1400 |          0 | COMMON   |     false | -                                                    |
| refinedcanolaoil              |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_refined_canola_oil           |
| refinedglowstone              |    2000 |        1111 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_refinedglowstone              |
| refinedobsidian               |    2000 |         860 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_refinedobsidian               |
| resin                         |     900 |         300 |      3000 |          0 | COMMON   |     false | -                                                    |
| rocket_fuel                   |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_rocket_fuel                      |
| rocketfuel                    |     800 |         300 |      1500 |         10 | COMMON   |     false | advancedrocketry:rocketfuel                          |
| sand                          |   50000 |         300 |     10000 |          0 | COMMON   |     false | biomesoplenty:sand                                   |
| sap                           |    1050 |         300 |      1500 |          0 | COMMON   |     false | -                                                    |
| seed.oil                      |     885 |         295 |      5000 |          0 | COMMON   |     false | forestry:fluid.seed.oil                              |
| seed_oil                      |     950 |         300 |      1300 |          0 | COMMON   |     false | -                                                    |
| sewage                        |    3000 |         300 |      6000 |          0 | COMMON   |     false | industrialforegoing:sewage                           |
| short.mead                    |    1000 |         295 |      1200 |          0 | COMMON   |     false | forestry:fluid.short.mead                            |
| signalum                      |    1000 |        1000 |      1000 |          0 | UNCOMMON |     false | tconstruct:molten_signalum                           |
| silver                        |    2000 |         480 |     10000 |         10 | RARE     |     false | tconstruct:molten_silver                             |
| sludge                        |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:sludge                           |
| soularium                     |    9000 |         636 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_soularium                        |
| starmetal                     |    2000 |         999 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_starmetal                     |
| steam                         |    1000 |         300 |      1000 |          0 | COMMON   |      true | railcraft:steam                                      |
| steel                         |    2000 |         681 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_steel                              |
| stone                         |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_stone                              |
| sulfuricacid                  |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                    |
